id,num_adults,num_children,meal,required_transport,room_type_reserved,arrival_year,arrival_month,arrival_date,avg_price_per_room,booking_status,num_staying_nights,meal_id,room_type_id,room_number,expenses
Booking00001,2,0,Meal Plan 1,0,Double,2021,1,8,85.0,Not_Canceled,4,1,1,198,36
Booking00002,2,0,Not Selected,0,Double,2022,2,12,126.68,Not_Canceled,6,4,1,176,121
Booking00003,1,0,Meal Plan 1,0,Double,2022,6,2,80.0,Canceled,4,1,1,248,20
Booking00004,2,0,Meal Plan 1,0,Double,2022,9,26,120.0,Canceled,3,1,1,223,50
Booking00005,2,0,Not Selected,0,Double,2022,8,17,114.5,Canceled,3,4,1,180,105
Booking00006,2,0,Meal Plan 2,0,Double,2022,1,19,135.0,Canceled,3,2,1,30,84
Booking00007,2,0,Meal Plan 1,0,Double,2021,1,21,127.55,Not_Canceled,5,1,1,229,21
Booking00008,2,0,Meal Plan 1,0,Single,2022,3,1,125.61,Not_Canceled,5,1,4,284,114
Booking00009,3,0,Meal Plan 1,0,Double,2022,11,12,116.9,Not_Canceled,5,1,1,177,101
Booking00010,2,0,Meal Plan 1,0,Single,2022,1,24,153.44,Not_Canceled,6,1,4,18,134
Booking00011,1,0,Not Selected,0,Double,2022,1,17,105.03,Not_Canceled,2,4,1,297,50
Booking00012,1,0,Meal Plan 1,0,Single,2022,8,4,160.4,Not_Canceled,4,1,4,256,107
Booking00013,2,0,Not Selected,0,Double,2022,2,1,108.0,Canceled,4,4,1,279,101
Booking00014,1,0,Meal Plan 1,0,Double,2022,2,26,110.0,Canceled,3,1,1,125,96
Booking00015,2,0,Meal Plan 1,0,Double,2021,1,26,114.5,Not_Canceled,3,1,1,123,104
Booking00016,2,0,Meal Plan 2,0,Double,2022,10,21,135.0,Canceled,3,2,1,81,125
Booking00017,1,0,Meal Plan 1,0,Double,2021,1,11,116.0,Not_Canceled,2,1,1,150,49
Booking00018,2,0,Not Selected,0,Double,2021,12,16,116.0,Not_Canceled,5,4,1,129,24
Booking00019,2,0,Meal Plan 1,0,Double,2021,1,4,85.0,Canceled,5,1,1,194,72
Booking00020,2,0,Meal Plan 1,0,Double,2021,1,10,92.0,Not_Canceled,2,1,1,229,44
Booking00021,2,0,Meal Plan 1,0,Double,2021,1,4,85.0,Canceled,5,1,1,208,22
Booking00022,1,0,Meal Plan 1,0,Double,2022,2,31,87.0,Not_Canceled,2,1,1,176,49
Booking00023,2,0,Meal Plan 1,0,Double,2022,7,26,105.0,Not_Canceled,7,1,1,269,70
Booking00024,2,0,Meal Plan 1,0,Double,2022,1,19,125.0,Not_Canceled,4,1,1,48,68
Booking00025,2,0,Not Selected,0,Double,2022,9,28,114.5,Not_Canceled,4,4,1,221,104
Booking00026,2,0,Meal Plan 1,0,Double,2022,8,2,134.3,Not_Canceled,3,1,1,295,88
Booking00027,2,0,Meal Plan 1,0,Double,2021,1,27,85.0,Not_Canceled,3,1,1,27,68
Booking00028,1,0,Meal Plan 1,0,Single,2022,9,25,130.0,Canceled,3,1,4,196,41
Booking00029,1,0,Meal Plan 1,0,Double,2021,2,12,57.33,Canceled,4,1,1,34,22
Booking00030,2,0,Meal Plan 2,0,Double,2021,1,23,102.0,Not_Canceled,3,2,1,95,30
Booking00031,2,0,Meal Plan 1,0,Single,2021,1,25,197.5,Not_Canceled,3,1,4,71,41
Booking00032,2,0,Meal Plan 1,0,Double,2022,2,19,107.5,Not_Canceled,5,1,1,219,104
Booking00033,0,2,Meal Plan 1,0,Suit,2022,3,13,102.44,Not_Canceled,4,1,2,247,19
Booking00034,2,0,Not Selected,0,Double,2022,5,15,89.5,Not_Canceled,2,4,1,150,37
Booking00035,2,0,Meal Plan 1,0,Double,2022,1,13,105.5,Not_Canceled,3,1,1,107,67
Booking00036,2,0,Not Selected,1,Double,2022,8,1,135.0,Not_Canceled,2,4,1,264,118
Booking00037,1,0,Meal Plan 1,0,Double,2022,10,25,101.0,Canceled,4,1,1,262,30
Booking00038,2,0,Meal Plan 1,0,Double,2021,1,23,87.0,Not_Canceled,2,1,1,31,50
Booking00039,2,0,Not Selected,0,Double,2022,2,25,83.75,Canceled,6,4,1,187,50
Booking00040,2,0,Meal Plan 1,0,Single,2022,11,4,141.8,Canceled,4,1,4,209,119
Booking00041,2,0,Meal Plan 1,0,Double,2022,2,7,113.6,Not_Canceled,5,1,1,80,83
Booking00042,2,0,Meal Plan 1,0,Double,2022,10,27,122.0,Not_Canceled,3,1,1,17,82
Booking00043,3,0,Meal Plan 1,0,Double,2022,8,16,141.8,Not_Canceled,4,1,1,53,55
Booking00044,2,0,Not Selected,0,Double,2022,10,1,118.1,Canceled,3,4,1,45,60
Booking00045,2,0,Meal Plan 1,0,Single,2021,2,24,80.0,Not_Canceled,5,1,4,165,31
Booking00046,2,0,Meal Plan 1,0,Double,2021,3,3,95.0,Not_Canceled,4,1,1,59,67
Booking00047,1,0,Meal Plan 1,0,Double,2021,2,26,93.0,Not_Canceled,3,1,1,209,27
Booking00048,2,0,Meal Plan 2,0,Double,2022,8,12,124.0,Not_Canceled,2,2,1,281,73
Booking00049,2,0,Not Selected,0,Double,2022,2,7,99.2,Not_Canceled,5,4,1,196,43
Booking00050,1,0,Meal Plan 1,0,Single,2022,3,3,145.8,Not_Canceled,5,1,4,69,30
Booking00051,1,0,Not Selected,0,Double,2022,9,4,107.95,Not_Canceled,8,4,1,203,76
Booking00052,2,0,Meal Plan 2,0,Double,2022,8,28,126.0,Canceled,5,2,1,111,101
Booking00053,1,0,Meal Plan 1,0,Double,2022,9,22,156.67,Not_Canceled,4,1,1,146,139
Booking00054,2,0,Meal Plan 1,0,Single,2021,2,17,80.0,Not_Canceled,5,1,4,10,14
Booking00055,2,0,Not Selected,0,Double,2022,10,19,109.0,Not_Canceled,2,4,1,26,25
Booking00056,2,0,Meal Plan 1,0,Double,2022,9,25,156.0,Not_Canceled,5,1,1,130,112
Booking00057,2,0,Not Selected,0,Double,2022,11,2,114.5,Not_Canceled,2,4,1,182,37
Booking00058,2,0,Meal Plan 1,0,Double,2022,3,1,113.6,Not_Canceled,4,1,1,270,23
Booking00059,2,0,Meal Plan 1,0,Single,2022,8,26,140.6,Canceled,6,1,4,237,92
Booking00060,2,0,Meal Plan 1,0,Single,2022,8,12,119.3,Not_Canceled,4,1,4,126,84
Booking00061,2,2,Meal Plan 1,1,Delux,2022,1,8,278.0,Not_Canceled,2,1,6,249,151
Booking00062,1,0,Meal Plan 1,0,Single,2022,9,9,140.12,Not_Canceled,4,1,4,222,81
Booking00063,1,0,Meal Plan 1,0,Double,2022,10,30,115.0,Not_Canceled,3,1,1,98,39
Booking00064,1,0,Meal Plan 1,0,Double,2021,1,16,20.0,Not_Canceled,2,1,1,157,14
Booking00065,2,0,Meal Plan 1,0,Double,2022,3,24,95.0,Not_Canceled,4,1,1,209,87
Booking00066,2,0,Meal Plan 1,0,Single,2022,1,11,177.5,Not_Canceled,4,1,4,196,33
Booking00067,2,0,Meal Plan 1,0,Single,2022,10,9,117.7,Not_Canceled,3,1,4,24,68
Booking00068,2,0,Meal Plan 1,0,Single,2022,8,21,162.0,Canceled,3,1,4,77,74
Booking00069,2,0,Meal Plan 1,0,Double,2022,8,12,100.0,Not_Canceled,2,1,1,22,61
Booking00070,2,0,Meal Plan 1,0,Double,2022,8,31,105.5,Not_Canceled,4,1,1,170,75
